
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:5037         127.0.0.1:64468        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64469        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64476        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64477        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64486        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64487        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64576        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64577        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64578        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64579        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64942        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64943        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64944        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64945        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65001        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65002        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65163        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65164        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65172        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65173        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65191        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:65192        TIME_WAIT       0
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       30048
  TCP    127.0.0.1:8080         127.0.0.1:49252        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49271        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49282        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49355        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49679        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49689        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49699        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49831        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49834        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:49841        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50160        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50314        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50329        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50404        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50420        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50444        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50460        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50474        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50550        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50692        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:50714        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51064        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51294        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51305        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51392        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51463        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51485        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51651        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51739        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:51864        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52028        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52117        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52144        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52156        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52198        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52229        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52323        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52364        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52458        TIME_WAIT       0
